Year,Max Intensity,Initial Date,Month,Lat,Lon
1891,D,20,5,9.71,81.38
1891,D,24,7,22.11,88.65
1891,D,1,8,20.14,91.82
1891,D,12,8,22.99,89.73
1891,D,1,9,20.64,87.98
1891,D,5,9,20.93,89.3
1891,D,17,9,18.26,87
1891,D,11,9,20.34,88.9
1891,CS,20,9,15.52,97.6
1891,D,20,10,9.98,84.36
1891,SCS,20,11,10.95,86.92
1891,SCS,1,11,7.74,74.96
1891,SCS,1,11,9.26,98.44
1892,SCS,28,4,16.25,60
1892,D,1,6,19.41,70.47
1892,SCS,8,6,19.11,88.92
1892,D,22,7,23.2,87.48
1892,D,18,7,24.24,86.96
1892,CS,9,7,19.23,89
1892,D,29,8,18.12,87.01
1892,CS,7,9,17.12,91.91
1892,D,19,9,14.61,86.53
1892,CS,14,10,8.33,92.64
1892,CS,18,10,13.26,94.89
1892,D,26,10,9.98,86.86
1893,CS,25,4,11.3,91.65
1893,SCS,23,5,18.99,87.63
1893,D,25,6,23.27,90.84
1893,CS,12,6,12.73,91.98
1893,D,31,7,20.37,88.37
1893,CS,2,9,19.42,88.78
1893,CS,9,9,17.64,90.17
1893,CS,21,9,16.45,89.24
1893,SCS,20,10,14.7,91.09
1893,CS,25,10,10.51,97.6
1893,SCS,4,11,10.08,85.15
1893,SCS,12,11,11.64,73.44
1894,CS,27,4,12.44,92.8
1894,D,13,6,22.98,91.63
1894,CS,21,6,19.79,87.22
1894,CS,24,7,21.54,90.16
1894,CS,11,7,19.45,87.28
1894,D,3,7,25.22,89.43
1894,CS,16,7,19.39,88.78
1894,D,13,8,22.78,88.05
1894,D,27,9,19.36,88.21
1894,D,30,10,12.04,90.61
1894,CS,23,10,14.64,67.84
1894,D,2,10,20,88.11
1895,SCS,22,4,9.41,85.87
1895,CS,14,6,17.63,69.83
1895,D,19,6,20.6,88.07
1895,D,28,6,20.6,88.07
1895,D,18,7,18.34,88.38
1895,D,30,7,20.57,87.91
1895,D,6,8,18.95,87.93
1895,SCS,4,9,16.88,87.65
1895,SCS,30,9,16.66,86.91
1895,D,16,9,17.46,89.98
1895,SCS,10,12,10.42,88.82
1896,CS,25,5,12.77,69
1896,CS,18,6,20.18,89.13
1896,SCS,26,6,20.18,89.97
1896,CS,22,7,21.25,89.18
1896,SCS,26,7,21.03,90.33
1896,D,20,8,21.32,89.36
1896,CS,1,8,20.56,89.36
1896,D,13,8,20.51,88.54
1896,CS,13,9,20.27,90.6
1896,SCS,14,11,5.71,79.6
1897,CS,13,5,13.94,95.49
1897,D,15,6,19.6,88.91
1897,D,9,7,20.68,88.14
1897,CS,10,7,19.75,70.78
1897,D,14,7,24.37,88.4
1897,CS,13,8,21.17,88.29
1897,D,9,9,18.88,85.73
1897,D,12,9,20.8,70.8
1897,D,23,9,16.58,90.87
1897,SCS,21,10,13.93,96.36
1897,CS,2,10,17.36,84.28
1897,SCS,26,12,12.26,85.04
1898,SCS,31,5,10.41,59.52
1898,SCS,5,5,12.12,94.68
1898,CS,13,6,17.76,85.43
1898,D,2,7,21.01,88.88
1898,D,16,7,24.94,85.97
1898,CS,9,8,21.15,89.11
1898,D,13,8,23.26,89.74
1898,D,21,8,21.85,90.96
1898,D,28,8,24.27,90.6
1898,D,20,9,20.73,88.7
1898,CS,11,9,17.38,86.46
1898,CS,9,10,12.93,85.67
1898,SCS,5,11,10.3,85.61
1899,CS,28,4,12.41,93.54
1899,D,13,7,21.94,89.69
1899,D,27,8,19.2,86.78
1899,CS,8,8,15.12,94.73
1899,D,21,9,16.76,88.35
1899,D,9,9,18.4,92.4
1899,CS,12,10,10.69,82
1900,CS,11,6,18.98,88.77
1900,D,22,6,20.64,88.2
1900,D,13,7,21.04,88.5
1900,CS,29,7,18.37,88.8
1900,SCS,15,8,19.63,91.2
1900,D,25,8,20.57,89.79
1900,D,9,8,20.1,88.21
1900,D,15,9,20.37,88.38
1900,D,23,10,10,85.48
1900,D,4,10,14.44,86.86
1901,SCS,25,4,5.54,74.21
1901,D,21,9,16.58,85.74
1901,D,5,10,16.79,87.3
1901,D,13,10,16.49,87.65
1901,SCS,24,11,11.33,87.62
1901,CS,14,11,14.35,83.71
1902,SCS,5,5,13.16,95.21
1902,SCS,7,5,11.06,55.14
1902,SCS,11,6,19.03,70.77
1902,CS,15,7,20.27,89.13
1902,D,27,7,21.57,88.36
1902,D,24,8,20.2,87.76
1902,D,19,8,17.09,86.18
1902,D,1,9,20.48,87.96
1902,D,23,9,17.28,89.65
1902,SCS,14,10,13.53,64.84
1902,D,27,10,8.88,85.22
1902,SCS,28,10,10.59,65.21
1902,CS,7,12,9.24,62.79
1903,SCS,22,5,15.84,72.42
1903,SCS,12,6,12.63,72
1903,D,25,6,21.59,88.34
1903,CS,12,7,18.36,87.41
1903,CS,14,7,20.24,69.23
1903,D,23,7,20.73,87.66
1903,CS,29,8,15.89,85.72
1903,D,1,8,19.88,87.53
1903,D,11,9,23.24,89.74
1903,CS,5,10,18.54,86.16
1903,CS,28,10,12.6,84.14
1903,D,4,11,11.04,87.26
1903,CS,13,11,13.34,86.29
1903,D,25,11,10.43,87.51
1904,CS,25,5,13.36,83.9
1904,D,10,6,21.09,88.56
1904,D,1,7,20.97,88.5
1904,D,7,7,22.93,89.05
1904,CS,12,8,19.5,89.62
1904,D,20,8,20.14,88.54
1904,D,10,9,18.15,86.83
1904,CS,14,10,12.02,85.24
1904,CS,21,11,11.81,88.56
1905,CS,30,6,20.62,87.8
1905,CS,5,7,21.5,90.03
1905,D,11,7,20.64,90.13
1905,D,19,7,21.4,89.34
1905,D,7,9,18.62,86.25
1905,CS,22,9,15.89,87.28
1905,D,28,9,21.9,89.17
1905,CS,22,10,17.62,67.57
1905,CS,23,10,16.38,85.48
1905,CS,8,12,14.21,92.18
1906,CS,15,1,7.59,84.91
1906,CS,18,6,19.12,86.36
1906,CS,21,7,19.72,87.61
1906,CS,25,7,20.93,90.82
1906,D,7,7,24.11,90.52
1906,D,27,8,19.45,86.42
1906,D,12,9,21.65,89.8
1906,D,24,9,17.01,88.35
1906,CS,30,10,12.33,58.11
1906,SCS,27,10,9.92,84.43
1906,CS,26,12,10.37,83.35
1907,SCS,8,3,8.08,86.27
1907,D,15,5,18.33,91.71
1907,SCS,4,6,19.35,67.16
1907,CS,13,6,15.15,85.51
1907,SCS,18,6,20.61,67.62
1907,CS,23,6,20.11,90.32
1907,D,18,8,23.14,88.48
1907,D,26,8,20.2,87.51
1907,D,12,8,20.14,87.92
1907,D,1,9,23.08,90.17
1907,D,5,10,20.44,89.33
1907,SCS,13,10,13.92,91.4
1907,CS,9,11,12.37,62.73
1907,CS,12,11,9.65,87.11
1907,D,24,11,8.48,96.16
1908,CS,16,6,20.74,87.63
1908,D,1,8,20.24,86.8
1908,D,7,8,20.45,88.11
1908,CS,28,8,18.55,87.7
1908,CS,24,9,16.64,85.02
1908,CS,25,10,9.47,74.1
1908,D,1,11,9.78,84.41
1908,SCS,9,11,13.61,93.18
1908,CS,30,12,7.5,83.3
1909,D,3,5,8.88,83.84
1909,SCS,12,5,12.72,90.34
1909,D,31,7,20.66,89.39
1909,D,2,9,14.64,84.47
1909,D,21,9,20.86,88.47
1909,SCS,15,10,13.48,94.54
1909,SCS,24,10,14.7,93.81
1909,SCS,2,12,11.93,85.9
1910,SCS,13,4,11.91,89.78
1910,SCS,1,7,19.75,90.57
1910,CS,1,8,16.86,85.3
1910,D,8,9,21.36,89.27
1910,CS,12,11,14.46,85.93
1910,CS,3,11,8.96,81.75
1911,SCS,15,4,12.88,86.61
1911,SCS,23,5,8.51,71.07
1911,CS,9,6,17.79,89.72
1911,D,18,6,20.6,88.21
1911,D,28,8,18.67,87.53
1911,SCS,20,9,15.06,94.07
1911,SCS,20,10,9.15,99.07
1912,CS,27,7,19.93,88.77
1912,D,28,8,19.02,87.25
1912,CS,1,8,17.8,86.49
1912,D,5,9,21.8,89.02
1912,D,22,9,14.67,84.93
1912,CS,25,10,14.72,72.8
1912,SCS,28,10,8.25,89.99
1912,SCS,19,11,7.61,80.56
1912,CS,17,12,5.27,82.45
1913,CS,16,7,18.87,87.52
1913,SCS,23,7,21.13,90.75
1913,SCS,30,7,21.68,89.21
1913,D,6,8,22.57,90.18
1913,D,22,8,18.33,86.49
