name,lat,lon
Rushikonda,17.7930699,83.3848672
Ukkunagaram Township,17.6551095,83.1486506
Simhachalam,17.7726291,83.2433486
Childrens Theatre,17.720553,83.3192048
Chrome,17.7199683,83.3196816
Waltair Club,17.7199605,83.3171163
Srinivasa Nagar,17.8276866,83.3555399
Pedagantyada,17.6640098,83.2149581
Gonthina Vani Palem,17.6765959,83.201799
Azeemabad,17.6778401,83.2138532
Sri Nagar,17.6824384,83.1892418
Pittalayyavanipalem,17.6941575,83.2291217
Gajuwaka,17.6813983,83.2130062
MTC Palem,17.7021888,83.2952793
Akkireddipalem,17.7091817,83.208027
Nathayyapalem,17.7103596,83.2015569
Pedda Waltair,17.7313942,83.3330434
Srinivasa Nagar,17.7318084,83.2988143
Ganesh Nagar,17.7332261,83.3075589
Lalitha Nagar,17.7345008,83.3012039
Sector 12,17.735096,83.3400493
Maddilapalem,17.7352245,83.3209373
Marripalem,17.7409149,83.2482755
Kailasapuram,17.7409348,83.2881627
NAD Junction,17.7447607,83.2334046
Durga Nagar,17.7474488,83.3249726
Vishalakshi Nagar,17.7566367,83.3362195
Pineapple Colony,17.7802655,83.2714
Rtc Colony,17.8122566,83.3706221
Srinivasa Nagar,17.812448,83.3655958
MVP Colony,17.7422648,83.3356865
Chinna Gadhili,17.7599248,83.3162033
Jagalavanipalem,17.7553958,83.3446201
Santapalem,17.7608883,83.308727
Tatagaruvu,17.7640713,83.3204924
Arilova,17.7675246,83.3138982
Mudasarlova,17.7619696,83.3138743
Pedda Ghadhili,17.7578041,83.3229141
Kondapeta,17.9349168,83.4289468
Kottapeta,17.9314605,83.4312276
Santapeta,17.92801,83.4271525
Chakalipeta,17.9291428,83.4304405
Pendurti,17.810935,83.2070556
Chinna Gantyada,17.6811788,83.198121
Jogavanipalem,17.6907144,83.2042114
Turakalapalem,17.6831096,83.2037169
Sattivanipalem,17.6959696,83.1990579
Reddy Tungalam,17.7020021,83.1927455
Vadlapudi,17.6933158,83.1876013
Tungalam,17.7051065,83.1910203
Jaggayyapalem,17.7172483,83.1985207
Eduruvanipalem,17.6987484,83.2238908
Nehrunagar,17.6868595,83.2304102
Srirampuram,17.6917618,83.2353308
Hindupuram,17.697046,83.2109191
Mindi,17.7019054,83.2123315
